ID;PACKAGE_NAME;LOG_ID;EVENT;EVENT_TYPE;EVENT_DESCRIPTION;TIMESTAMP
1609;DB2_0603_LD_Contract_CLEAN;1144;CONTRACTTERM;MIGRATED;CNT=98;2024-12-20-05.21.34.599000
1610;DB2_0603_LD_Contract_CLEAN;1144;LD (CONTRACTTERM);INVALID;CNT=4;2024-12-20-05.21.41.694000
1611;DB2_0603_LD_Contract_CLEAN;1144;LD (CONTRACTTERM);HAS-ATTACHMENT;CNT=0;2024-12-20-05.21.41.884000
1612;DB2_0603_LD_Contract_CLEAN;1144;LD (CONTRACTTERM);NOMATCH-CONTRACTTERM;CNT=0;2024-12-20-05.21.42.011000
1613;DB2_0603_LD_Contract_CLEAN;1144;LD (CONTRACTTERM);MIGRATED;CNT=94;2024-12-20-05.21.42.074000
1614;DB2_0603_LD_Contract_CLEAN;1144;LD (CONTRACT-BLANKET);INVALID;CNT=0;2024-12-20-05.21.47.880000
1615;DB2_0603_LD_Contract_CLEAN;1144;LD (CONTRACT-BLANKET);HAS-ATTACHMENT;CNT=0;2024-12-20-05.21.48.099000
1616;DB2_0603_LD_Contract_CLEAN;1144;LD (CONTRACT-BLANKET);NOMATCH-CONTRACT;CNT=0;2024-12-20-05.21.48.192000
1617;DB2_0603_LD_Contract_CLEAN;1144;LD (CONTRACT-BLANKET);MIGRATED;CNT=5;2024-12-20-05.21.48.192000
1618;DB2_0604_LD_PR_CLEAN;1145;WORKLOG;MIGRATED;CNT=40106;2024-12-20-05.22.12.176000
1619;DB2_0604_LD_PR_CLEAN;1145;LD;INVALID;CNT=2956;2024-12-20-05.26.42.349000
1620;DB2_0604_LD_PR_CLEAN;1145;LD;HAS-ATTACHMENT;CNT=40;2024-12-20-05.26.42.474000
1621;DB2_0604_LD_PR_CLEAN;1145;LD;MIGRATED;CNT=37150;2024-12-20-05.26.42.646000
1622;DB2_0604_LD_PR_CLEAN;1145;LD;NOMATCH-WORKLOG;CNT=0;2024-12-20-05.26.42.584000
1623;DB2_0607_LD_PO_CLEAN;1148;WORKLOG;MIGRATED;CNT=50290;2024-12-20-05.28.19.130000
1624;DB2_0607_LD_PO_CLEAN;1148;WORKLOG (FOLLOWUP);MIGRATED;CNT=1259;2024-12-20-05.28.45.989000
1625;DB2_0607_LD_PO_CLEAN;1148;LD;INVALID;CNT=1491;2024-12-20-05.33.15.877000
1626;DB2_0607_LD_PO_CLEAN;1148;LD;HAS-ATTACHMENT;CNT=1;2024-12-20-05.33.16.080000
1627;DB2_0607_LD_PO_CLEAN;1148;LD;NOMATCH-WORKLOG;CNT=0;2024-12-20-05.33.16.111000
1628;DB2_0607_LD_PO_CLEAN;1148;LD;MIGRATED;CNT=48799;2024-12-20-05.33.16.142000
1629;DB2_0607_LD_PO_CLEAN;1148;LD (FOLLOWUP);INVALID;CNT=1239;2024-12-20-05.33.43.986000
1630;DB2_0607_LD_PO_CLEAN;1148;LD (FOLLOWUP);HAS-ATTACHMENT;CNT=0;2024-12-20-05.33.44.220000
1631;DB2_0607_LD_PO_CLEAN;1148;LD (FOLLOWUP);NOMATCH-WORKLOG;CNT=0;2024-12-20-05.33.44.298000
1632;DB2_0607_LD_PO_CLEAN;1148;LD (FOLLOWUP);MIGRATED;CNT=20;2024-12-20-05.33.44.392000
1633;DB2_0608_LD_RFQ_RFQLine_CLEAN;1154;RFQ;INVALID;CNT=7836;2024-12-20-05.37.19.859000
1634;DB2_0608_LD_RFQ_RFQLine_CLEAN;1154;RFQ;HAS-ATTACHMENT;CNT=0;2024-12-20-05.37.19.999000
1635;DB2_0608_LD_RFQ_RFQLine_CLEAN;1154;RFQ;NOMATCH-RFQ;CNT=0;2024-12-20-05.37.20.062000
